stname,ctyname,aa_change,rtd_change,hisp_change,white_change
Colorado,Arapahoe County,0.0059583399999999925,-0.036125839999999965,0.004974950000000006,-0.019889839999999936
Michigan,Arenac County,0.0020766245999999993,1.16009684,0.005599784999999998,-0.0058392900000000525
Texas,Archer County,0.0042817539,4.7510286,0.007784180000000002,-0.014538110000000048
Colorado,Archuleta County,0.0034878075000000005,0.4228073000000001,0.001971379999999995,-0.01890689000000001
Arkansas,Arkansas County,-0.0015430600000000128,0.3752439000000001,0.0038741680000000007,-0.007070600000000038
Virginia,Arlington County,0.006310940000000001,-0.15883103,0.004285749999999977,-0.017092520000000055
Texas,Armstrong County,0.0070012739000000004,8.1194121,0.018924382099999998,-0.016594470000000028
Maine,Aroostook County,0.0034702465000000004,0.6288803799999999,0.002149098700000001,-0.0069410199999999644
Nebraska,Arthur County,0,8.7888394,0.003760033000000003,0.0025377900000000952
Louisiana,Ascension Parish,0.0057837099999999975,0.0576759,0.007197384000000001,-0.013887699999999947
North Carolina,Ashe County,0.0017290403999999995,1.0643481999999997,1.4006700000000066e-4,-0.004526319999999973
Ohio,Ashland County,0.0022480135,1.7459194300000003,0.0126652625,-0.015852629999999923
Arkansas,Ashley County,-0.007237349999999976,0.40024499999999996,0.003736879999999998,0.0014761600000000596
Ohio,Ashtabula County,0.0013203920000000036,0.7398082899999999,0.006822378000000004,-0.0054503599999999874
Washington,Asotin County,0.0016192732999999997,0.5148595,0.008179326,-0.010785160000000071
Louisiana,Assumption Parish,-0.008767129999999956,0.45039300000000004,0.008179813000000001,0.004011690000000012
Texas,Atascosa County,0.0024075148999999994,0.6157887000000002,0.020822940000000068,-0.0071789600000000675
Ohio,Athens County,-5.211699999999736e-5,0.22345744999999995,0.003410903,-0.01025098999999996
Missouri,Atchison County,9.728872999999957e-4,2.7377589,0.009747914400000002,-0.01328646999999994
Georgia,Atkinson County,-0.004934269999999991,0.6251082000000001,0.0018066000000000193,-0.005325860000000016
New Jersey,Atlantic County,-5.928399999999834e-4,0.12915588,0.017180390000000018,-0.005793990000000027
Oklahoma,Atoka County,0.0012828449999999977,2.5743332,0.006859491000000002,-0.009434759999999986
Mississippi,Attala County,0.011560910000000035,0.14052100000000012,0.0046749240000000004,-0.016076560000000018
Missouri,Audrain County,0.0036242759999999957,1.3254989,0.005454867000000002,-0.009244089999999927
Iowa,Audubon County,0.0019779526999999996,1.03815721,0.0067509841,-0.007011290000000003
Ohio,Auglaize County,0.0028092799999999995,2.2507462,0.004635812,-0.008790610000000032
Virginia,Augusta County,0.0018496880000000021,0.8464035999999999,0.006101305000000001,-0.00574588999999992
South Dakota,Aurora County,0.0035386439,1.6524919999999998,0.019532363999999997,-0.01965493000000007
Texas,Austin County,-0.003786310000000001,1.0393808000000004,0.02989497000000002,-8.510300000000859e-4
Alabama,Autauga County,0.014367210000000019,0.20509239999999984,0.003111133999999998,-0.020838259999999997
North Carolina,Avery County,0.004656714000000006,1.1204775000000002,0.0050967699999999935,-0.009852470000000002
Louisiana,Avoyelles Parish,0.0028694499999999956,0.5996492,0.004262739999999999,-0.00810772000000004
Colorado,Baca County,0.0038625036999999996,3.2615106,0.015496376000000006,-0.016755940000000025
Georgia,Bacon County,0.011187599999999992,1.7519888999999997,0.009954734999999992,-0.018946649999999954
Texas,Bailey County,0.0028575619999999993,1.0129566000000003,0.045924000000000076,-0.016730189999999978
Oregon,Baker County,-0.010835083000000023,2.8069017900000004,0.027155713999999984,-0.011118109999999959
